ID_datospoblacion;Estrato;Distrito;GV Descripción 2;Población;Origen;Zona;Fuente
2457;2;8028298TD;CONVERTIA BOGOTA;EL CARMEN DE BOLIVAR;SAC;802829;PR
2728;1;8028298TA;CONVERTIA BOGOTA;CARTAGENA;SAC;802829;PR
2471;1;8028248U3;CONVERTIA BOGOTA;COROZAL;SAC;802824;PR
182;2;8028248U2;CONVERTIA BOGOTA;SINCELEJO;SAC;802824;PR
1319;2;8028248U2;CONVERTIA BOGOTA;SINCELEJO;SAC;802824;PR
2816;4;8028248U2;CONVERTIA BOGOTA;SINCELEJO;SAC;802824;PR
287;2;8028248U1;CONVERTIA BOGOTA;SINCELEJO;SAC;802824;PR
572;2;8028248U1;CONVERTIA BOGOTA;SINCELEJO;SAC;802824;PR
2244;2;8028248U1;CONVERTIA BOGOTA;SINCELEJO;SAC;802824;PR
1981;3;8028248B2;CONVERTIA BOGOTA;MONTERIA;SAC;802824;PR
2312;2;8028248B2;CONVERTIA BOGOTA;MONTERIA;SAC;802824;PR
2488;2;8028248B2;CONVERTIA BOGOTA;MONTERIA;SAC;802824;PR
649;3;8028248B1;CONVERTIA BOGOTA;MONTERIA;SAC;802824;PR
1060;3;8028248B1;CONVERTIA BOGOTA;MONTERIA;SAC;802824;AD
3157;6;8028248B1;CONVERTIA BOGOTA;MONTERIA;SAC;802824;PR
3253;4;8028248B1;CONVERTIA BOGOTA;MONTERIA;SAC;802824;PR
53;4;8028238V4;CONVERTIA BOGOTA;TURBACO;SAC;802823;PR
1360;3;8028238V4;CONVERTIA BOGOTA;CARTAGENA;SAC;802823;PR
1487;3;8028238V4;CONVERTIA BOGOTA;CARTAGENA;SAC;802823;PR
1524;3;8028238V4;CONVERTIA BOGOTA;TURBACO;SAC;802823;PR
2638;3;8028238V4;CONVERTIA BOGOTA;TURBACO;SAC;802823;PR
3084;3;8028238V4;CONVERTIA BOGOTA;CARTAGENA;SAC;802823;PR
3198;4;8028238V4;CONVERTIA BOGOTA;TURBACO;VENTAS DIGITALES;802823;PR
1666;3;8028238V3;CONVERTIA BOGOTA;CARTAGENA;SAC;802823;PR
339;2;8028238V2;CONVERTIA BOGOTA;CARTAGENA;SAC;802823;PR
1891;2;8028238V2;CONVERTIA BOGOTA;CARTAGENA;SAC;802823;PR
2325;3;8028238V2;CONVERTIA BOGOTA;CARTAGENA;VENTAS DIGITALES;802823;PR
734;3;8028238V1;CONVERTIA BOGOTA;CARTAGENA;VENTAS DIGITALES;802823;PR
